,City Name,Country Code,City Data,City Latitude,City Longitude,City Temperature,City Humidity,City Cloudiness,City Wind Speed
322,Afonino,RU,1659527304,56.262,44.095,79.99,41,40,4.47
323,Tabou,CI,1659527305,4.423,-7.3528,76.86,74,98,8.88
324,Maïné Soroa,NE,1659527305,13.2114,12.0241,84.33,56,73,7.63
325,Ponta do Sol,PT,1659527305,32.6667,-17.1,83.71,68,3,2.77
326,Harper,LR,1659527306,4.375,-7.7169,77.77,70,100,8.72
327,Frederikshavn,DK,1659527306,57.4407,10.5366,70.45,83,98,13.44
328,Leh,IN,1659527307,34.1667,77.5833,70.93,17,1,5.46
329,Safita,SY,1659527307,34.8205,36.1153,85.78,52,2,13.58
330,Huarmey,PE,1659527307,-10.0681,-78.1522,62.42,84,57,6.55
331,Ducheng,CN,1659527308,23.2373,111.5317,82.42,80,99,2.62
332,La Huaca,PE,1659527308,-4.9117,-80.96,65.12,83,90,12.82
333,Sarakhs,IR,1659527309,36.5449,61.1577,104.14,16,40,4.61
334,Łobez,PL,1659527309,53.6392,15.6213,87.67,44,15,7.07
335,Karabash,RU,1659527309,55.4808,60.2157,71.96,49,3,8.21
336,Ferrol,ES,1659527310,43.4832,-8.2369,70.27,75,68,16.33
337,Chase,CA,1659527310,50.8165,-119.6857,63.48,43,98,4.09
338,Oberriet,CH,1659527311,47.3199,9.5661,93.47,48,0,8.01
339,Bonavista,CA,1659527311,48.6499,-53.1147,62.85,95,48,14.27
340,Saint-Pierre,RE,1659527312,-21.3393,55.4781,74.88,69,0,23.02
341,Vulcan,RO,1659527312,45.3833,23.2667,79.32,34,16,7.05
342,Touros,BR,1659527312,-5.1989,-35.4608,81.57,68,25,12.17
343,Rome,US,1659527014,43.2128,-75.4557,69.66,88,40,3.44
344,Qaqortoq,GL,1659527313,60.7167,-46.0333,49.23,65,100,6.15
345,Isla Mujeres,MX,1659527313,21.2311,-86.731,77.16,84,5,6.62
346,Kuytun,RU,1659527313,54.3419,101.5036,55.74,81,78,5.26
347,Laas,IT,1659527109,46.6166,10.7002,79.7,41,25,2.35
348,Necochea,AR,1659527314,-38.5473,-58.7368,50.27,96,40,7.72
349,Kachīry,KZ,1659527314,53.0675,76.1036,74.88,34,99,12.3
350,Kenai,US,1659527315,60.5544,-151.2583,47.03,100,0,0.0
351,Andenes,NO,1659527315,69.3143,16.1194,58.93,88,0,5.75
352,Marawi,PH,1659527316,7.9986,124.2928,70.47,97,100,3.13
